1578942215.630427		1578942214.6013627		-1.0290641784667969
1578942215.7730227		1578942214.6561205		-1.1169021129608154
1578942215.828653		1578942214.7750185		-1.0536346435546875
1578942216.0436742		1578942215.0978975		-0.9457767009735107
MEAN				STANDARD DEVIATION		VARIANCE
-1.0363444089889526		0.07081432852227595		0.005014669124060826
1578943067.271104		1578943067.920394		0.6492898464202881
1578943067.9176698		1578943068.270187		0.35251712799072266
1578943068.1271205		1578943068.485776		0.3586554527282715
1578943068.265698		1578943068.615086		0.34938812255859375
MEAN				STANDARD DEVIATION		VARIANCE
-0.427462637424469		0.14793489398213547		0.021884732857505657
